wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
kujawsko-pomorskie,Włocławek,-,-,1,-,-,0.09,1,1,0,0,0,0,13,1,12,0,t0464,2023-01-26
lubelskie,bialski,-,-,0,-,-,0.0,0,0,0,1,0,0,9,1,8,0,t0601,2023-01-26
lubelskie,biłgorajski,-,-,2,-,-,0.2,0,0,0,2,0,0,9,2,7,0,t0602,2023-01-26
lubelskie,chełmski,-,-,0,-,-,0.0,0,0,0,1,0,0,5,1,4,0,t0603,2023-01-26
lubelskie,hrubieszowski,-,-,0,-,-,0.0,0,0,0,2,0,0,8,0,8,0,t0604,2023-01-26
lubelskie,janowski,-,-,0,-,-,0.0,0,0,0,0,0,0,4,0,4,0,t0605,2023-01-26
lubelskie,krasnostawski,-,-,3,-,-,0.48,0,0,0,0,0,0,10,3,7,0,t0606,2023-01-26
lubelskie,kraśnicki,-,-,0,-,-,0.0,0,0,0,0,0,0,23,0,23,0,t0607,2023-01-26
lubelskie,lubartowski,-,-,1,-,-,0.11,0,0,0,1,0,0,11,1,10,0,t0608,2023-01-26
lubelskie,lubelski,-,-,4,-,-,0.26,1,0,1,2,0,0,30,6,24,0,t0609,2023-01-26
lubelskie,łęczyński,-,-,0,-,-,0.0,0,0,0,0,0,0,6,0,6,0,t0610,2023-01-26
lubelskie,łukowski,-,-,0,-,-,0.0,0,0,0,4,0,0,11,0,11,0,t0611,2023-01-26
lubelskie,opolski,-,-,0,-,-,0.0,0,0,0,0,0,0,10,0,10,0,t0612,2023-01-26
lubelskie,parczewski,-,-,0,-,-,0.0,0,0,0,0,0,0,7,0,7,0,t0613,2023-01-26
