Loading...,Voivodeships,Districts,Terytorial Code,14D Total Deaths / 10000,7D AVR Infections / 10000,(% ) Booster Dose,Date - Booster Dose,Population / 10000,t14,t13,t12,t11,t10,t9,t8,t7,t6,t5,t4,t3,t2,t1,t
2023-05-01,lubelskie,Parczewski,0613,0.00,0.12,26.50,2023-04-29,3.44,0.29,0.41,0.95,0.99,0.87,0.83,0.83,0.83,0.74,0.21,0.17,0.12,0.12,0.12,0.12
2023-05-01,lubelskie,Puławski,0614,0.00,0.24,34.68,2023-04-29,11.24,0.53,0.66,0.60,0.56,0.51,0.34,0.33,0.33,0.23,0.20,0.22,0.20,0.24,0.24,0.24
2023-05-01,lubelskie,Radzyński,0615,0.00,0.24,19.10,2023-04-29,5.83,0.10,0.15,0.17,0.15,0.07,0.07,0.07,0.07,0.07,0.05,0.15,0.15,0.24,0.24,0.24
2023-05-01,lubelskie,Rycki,0616,0.00,0.08,34.49,2023-04-29,5.55,0.38,0.54,0.51,0.51,0.38,0.28,0.28,0.28,0.13,0.13,0.10,0.08,0.08,0.08,0.08
2023-05-01,lubelskie,Świdnicki,0617,0.00,0.14,32.58,2023-04-29,7.14,0.44,0.50,0.42,0.36,0.32,0.30,0.30,0.30,0.24,0.20,0.16,0.16,0.14,0.14,0.14
2023-05-01,lubelskie,Tomaszowski,0618,0.00,0.07,23.86,2023-04-29,8.19,0.17,0.23,0.19,0.16,0.23,0.21,0.21,0.21,0.16,0.19,0.16,0.09,0.07,0.07,0.07
2023-05-01,lubelskie,Włodawski,0619,0.00,0.00,32.53,2023-04-29,3.80,0.15,0.26,0.26,0.26,0.22,0.15,0.15,0.15,0.04,0.00,0.00,0.00,0.00,0.00,0.00
2023-05-01,lubelskie,Zamojski,0620,0.00,0.19,16.84,2023-04-29,10.54,0.24,0.30,0.31,0.28,0.20,0.23,0.23,0.23,0.23,0.19,0.19,0.20,0.18,0.19,0.19
2023-05-01,lubelskie,Biała Podlaska,0661,0.00,0.32,43.41,2023-04-29,5.69,0.77,0.92,0.80,0.65,0.60,0.35,0.37,0.37,0.35,0.40,0.37,0.35,0.35,0.32,0.32
2023-05-01,lubelskie,Chełm,0662,0.00,0.05,43.80,2023-04-29,6.11,0.16,0.23,0.23,0.16,0.23,0.14,0.14,0.14,0.07,0.07,0.09,0.05,0.05,0.05,0.05
2023-05-01,lubelskie,Lublin,0663,0.03,0.14,51.53,2023-04-29,33.86,0.26,0.29,0.27,0.23,0.22,0.16,0.17,0.17,0.16,0.14,0.16,0.17,0.15,0.15,0.14
2023-05-01,lubelskie,Zamość,0664,0.00,0.11,51.51,2023-04-29,6.28,0.11,0.20,0.25,0.23,0.23,0.25,0.25,0.25,0.18,0.11,0.11,0.14,0.11,0.11,0.11
2023-05-01,lubuskie,Gorzowski,0801,0.00,0.02,18.43,2023-04-29,7.23,0.12,0.12,0.08,0.04,0.06,0.12,0.12,0.12,0.12,0.10,0.12,0.10,0.02,0.02,0.02
2023-05-01,lubuskie,Krośnieński,0802,0.00,0.05,35.59,2023-04-29,5.46,0.26,0.29,0.23,0.21,0.18,0.18,0.16,0.16,0.13,0.10,0.05,0.08,0.05,0.05,0.05
2023-05-01,lubuskie,Międzyrzecki,0803,0.00,0.05,42.15,2023-04-29,5.71,0.12,0.12,0.10,0.07,0.07,0.05,0.05,0.02,0.07,0.07,0.05,0.05,0.05,0.05,0.05
2023-05-01,lubuskie,Nowosolski,0804,0.00,0.05,44.31,2023-04-29,8.57,0.63,0.63,0.62,0.18,0.18,0.12,0.12,0.12,0.10,0.10,0.12,0.08,0.05,0.05,0.05
2023-05-01,lubuskie,Słubicki,0805,0.00,0.12,35.54,2023-04-29,4.69,0.21,0.28,0.12,0.15,0.21,0.24,0.24,0.24,0.18,0.24,0.21,0.15,0.12,0.12,0.12
2023-05-01,lubuskie,Strzelecko-Drezdenecki,0806,0.00,0.12,36.61,2023-04-29,4.86,0.53,0.61,0.41,0.32,0.20,0.17,0.17,0.14,0.09,0.09,0.14,0.14,0.12,0.12,0.12
2023-05-01,lubuskie,Sulęciński,0807,0.00,0.04,38.88,2023-04-29,3.50,0.12,0.12,0.12,0.12,0.08,0.04,0.04,0.00,0.00,0.04,0.04,0.04,0.04,0.04,0.04
2023-05-01,lubuskie,Świebodziński,0808,0.00,0.03,36.47,2023-04-29,5.55,0.05,0.05,0.08,0.10,0.10,0.10,0.08,0.08,0.08,0.05,0.03,0.00,0.00,0.03,0.03
2023-05-01,lubuskie,Zielonogórski,0809,0.26,0.15,36.81,2023-04-29,7.57,0.13,0.19,0.26,0.24,0.28,0.26,0.26,0.26,0.24,0.13,0.17,0.11,0.13,0.13,0.15
2023-05-01,lubuskie,Żagański,0810,0.00,0.04,41.37,2023-04-29,7.81,0.33,0.42,0.36,0.16,0.16,0.15,0.15,0.15,0.07,0.07,0.06,0.06,0.04,0.04,0.04
