Date,Voivodeships,Districts,Terytorial Code,14D Total Deaths / 10000,7D AVR Infections / 10000,(% ) Booster Dose,Date - Booster Dose,Population / 10000,t14,t13,t12,t11,t10,t9,t8,t7,t6,t5,t4,t3,t2,t1,t
2024-03-01,lubuskie,Gorzowski,0801,0.00,0.02,19.15,2024-02-24,7.23,0.16,0.20,0.20,0.20,0.22,0.20,0.18,0.16,0.12,0.12,0.12,0.06,0.04,0.00,0.02
2024-03-01,lubuskie,Krośnieński,0802,0.00,0.00,35.87,2024-02-24,5.46,0.03,0.03,0.03,0.03,0.03,0.03,0.00,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.00
2024-03-01,lubuskie,Międzyrzecki,0803,0.00,0.02,43.15,2024-02-24,5.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,0.02,0.02
2024-03-01,lubuskie,Nowosolski,0804,0.00,0.00,46.11,2024-02-24,8.57,0.00,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.02,0.02,0.02,0.02,0.00,0.00,0.00
2024-03-01,lubuskie,Słubicki,0805,0.00,0.00,35.83,2024-02-24,4.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024-03-01,lubuskie,Strzelecko-Drezdenecki,0806,0.00,0.00,37.97,2024-02-24,4.86,0.06,0.06,0.06,0.06,0.03,0.03,0.00,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.00
2024-03-01,lubuskie,Sulęciński,0807,0.00,0.00,40.47,2024-02-24,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024-03-01,lubuskie,Świebodziński,0808,0.00,0.00,37.19,2024-02-24,5.55,0.03,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024-03-01,lubuskie,Zielonogórski,0809,0.00,0.04,37.25,2024-02-24,7.57,0.06,0.00,0.00,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.02,0.04,0.04,0.04,0.04
2024-03-01,lubuskie,Żagański,0810,0.00,0.02,42.18,2024-02-24,7.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,0.02,0.02
2024-03-01,lubuskie,Żarski,0811,0.00,0.00,42.68,2024-02-24,9.54,0.03,0.03,0.03,0.03,0.03,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00
