#REF!,,,,,,,,,t14,t13,t12,t11,t10,t9,t8,t7,t6,t5,t4,t3,t2,t1,t
,,,,,,,,,0.70,0.70,0.74,0.59,0.41,0.30,0.22,0.30,0.30,0.26,0.22,0.30,0.32,0.35,
,,,,,,,,,0.09,0.09,0.09,0.09,0.06,0.03,0.03,0.06,0.06,0.06,0.09,0.09,0.16,0.22,
,,,,,,,,,0.25,0.25,0.27,0.20,0.20,0.18,0.17,0.15,0.15,0.13,0.17,0.17,0.15,0.12,
,,,,,,,,,0.92,0.92,0.92,0.85,0.96,0.82,0.85,0.64,0.64,0.64,0.60,0.75,0.78,0.78,
,,,,,,,,,0.62,0.62,0.62,0.62,0.72,0.59,0.46,0.39,0.36,0.36,0.33,0.26,0.23,0.16,
,,,,,,,,,0.10,0.10,0.10,0.07,0.03,0.00,0.10,0.10,0.10,0.10,0.14,0.17,0.17,0.10,
,,,,,,,,,0.42,0.42,0.42,0.42,0.39,0.43,0.42,0.32,0.32,0.32,0.30,0.33,0.29,0.32,
,,,,,,,,,0.51,0.51,0.50,0.54,0.49,0.42,0.41,0.34,0.34,0.34,0.33,0.28,0.28,0.22,
,,,,,,,,,0.30,0.24,0.24,0.12,0.15,0.18,0.21,0.24,0.27,0.27,0.35,0.32,0.30,0.30,
,,,,,,,,,0.17,0.17,0.17,0.25,0.21,0.25,0.21,0.38,0.38,0.38,0.46,0.50,0.50,0.63,
,,,,,,,,,1.55,1.55,1.55,1.28,1.11,1.15,1.10,0.88,0.88,0.88,0.68,0.70,0.73,0.80,
,,,,,,,,,0.84,0.77,0.80,0.59,0.55,0.49,0.47,0.47,0.47,0.43,0.41,0.39,0.47,0.39,
,,,,,,,,,0.44,0.44,0.44,0.36,0.36,0.35,0.33,0.34,0.34,0.34,0.32,0.29,0.28,0.27,
,,,,,,,,,1.40,1.40,1.40,1.26,1.15,1.08,0.99,0.91,0.91,0.91,1.05,1.05,1.06,1.05,
,,,,,,,,,0.55,0.56,0.56,0.57,0.53,0.50,0.48,0.39,0.38,0.38,0.35,0.32,0.34,0.31,
,,,,,,,,,0.33,0.33,0.33,0.26,0.21,0.17,0.21,0.16,0.16,0.16,0.16,0.13,0.17,0.10,
,,,,,,,,,0.93,0.93,0.94,0.81,0.70,0.67,0.62,0.60,0.60,0.58,0.52,0.46,0.44,0.40,
,,,,,,,,,1.15,1.15,1.15,0.92,0.71,0.67,0.67,0.61,0.61,0.61,0.51,0.41,0.39,0.44,
,,,,,,,,,0.55,0.55,0.55,0.61,0.59,0.52,0.53,0.51,0.51,0.51,0.31,0.26,0.33,0.29,
,,,,,,,,,0.53,0.53,0.55,0.55,0.50,0.53,0.50,0.46,0.46,0.43,0.41,0.37,0.48,0.55,
,,,,,,,,,1.35,1.35,1.35,1.38,1.26,1.26,1.10,1.01,1.01,1.01,0.75,0.72,0.47,0.57,
