wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt,dawka_1_ogolem,dawka_1_dziennie,dawka_3_ogolem,dawka_3_dziennie,dawka_przypominajaca_ogolem,dawka_przypominajaca_dziennie
podkarpackie,przemyski,27648,0,10855,0,t1813,11343,0,139,0,5311,0
podkarpackie,przeworski,44461,0,16674,0,t1814,18336,0,136,0,9315,0
podkarpackie,ropczycko-sędziszowski,54006,9,20318,0,t1815,24513,1,206,0,8969,8
podkarpackie,rzeszowski,78588,11,29152,1,t1816,33449,0,904,0,15083,10
podkarpackie,sanocki,58547,23,20382,9,t1817,24198,1,190,0,13777,13
podkarpackie,stalowowolski,102833,10,39110,1,t1818,44519,0,865,0,18339,9
podkarpackie,strzyżowski,39527,31,15315,13,t1819,16190,4,25,0,7997,14
podkarpackie,tarnobrzeski,25077,0,8598,0,t1820,10723,0,127,0,5629,0
podkarpackie,leski,19699,39,7547,17,t1821,8369,4,32,0,3751,18
podkarpackie,Krosno,65551,39,23923,12,t1861,26961,3,164,0,14503,24
podkarpackie,Przemyśl,73810,56,25100,29,t1862,31121,7,172,0,17417,20
podkarpackie,Rzeszów,728532,611,286673,247,t1863,338638,66,1807,0,101414,298
podkarpackie,Tarnobrzeg,86724,18,32518,4,t1864,37180,0,475,0,16551,14
podlaskie,augustowski,61753,5,22894,1,t2001,26805,1,544,0,11510,3
podlaskie,białostocki,96859,0,35189,0,t2002,38834,0,388,0,22448,0
podlaskie,bielski,53530,7,19981,0,t2003,22545,0,43,0,10961,7
podlaskie,grajewski,41084,16,15856,7,t2004,17636,2,298,0,7294,7
podlaskie,hajnowski,43073,11,15691,1,t2005,17889,3,108,0,9385,7
podlaskie,kolneński,31572,9,12162,0,t2006,13970,0,419,0,5021,9
podlaskie,łomżyński,21158,0,8602,0,t2007,9374,0,93,0,3089,0
podlaskie,moniecki,34558,0,12967,0,t2008,14368,0,113,0,7110,0
podlaskie,sejneński,17510,0,6535,0,t2009,7271,0,388,0,3316,0
podlaskie,siemiatycki,42767,0,16954,0,t2010,18161,0,102,0,7550,0
podlaskie,sokólski,63751,9,24008,4,t2011,25735,0,560,0,13448,5
podlaskie,suwalski,12814,0,4776,0,t2012,5188,0,9,0,2841,0
podlaskie,wysokomazowiecki,66366,16,25925,5,t2013,28404,1,484,0,11553,10
podlaskie,zambrowski,41723,52,15037,20,t2014,18210,9,137,0,8339,23
podlaskie,Białystok,674890,196,254019,56,t2061,302797,27,1589,0,116485,113
podlaskie,Łomża,98269,31,37474,9,t2062,41700,5,332,1,18763,16
podlaskie,Suwałki,89968,26,30844,8,t2063,38635,1,246,0,20243,17
pomorskie,bytowski,95779,4,35784,2,t2201,41247,0,219,0,18529,2
pomorskie,chojnicki,129791,1,46799,0,t2202,54744,0,343,0,27905,1
pomorskie,człuchowski,59595,0,20792,0,t2203,25639,0,160,0,13004,0
pomorskie,gdański,102916,170,34340,54,t2204,38416,31,619,0,29541,85
pomorskie,kartuski,136508,237,51392,114,t2205,58793,30,246,1,26077,92
pomorskie,kościerski,91607,27,34138,13,t2206,38581,0,770,0,18118,14
pomorskie,kwidzyński,96842,12,35438,4,t2207,40655,1,426,0,20323,7
pomorskie,lęborski,86946,10,31208,0,t2208,36629,0,242,0,18867,10
pomorskie,malborski,64378,29,22985,3,t2209,25489,2,236,0,15668,24
pomorskie,nowodworski,47679,71,17596,29,t2210,20318,14,95,0,9670,28
pomorskie,pucki,87280,127,31591,72,t2211,35969,6,753,0,18967,49
pomorskie,słupski,70358,66,25046,28,t2212,28493,7,924,0,15895,31
pomorskie,starogardzki,149563,134,54922,70,t2213,63425,25,725,0,30491,39
pomorskie,tczewski,132710,235,45016,92,t2214,54389,39,449,0,32856,104
pomorskie,wejherowski,244517,375,87196,123,t2215,102468,44,1045,0,53808,208
pomorskie,sztumski,60247,13,22045,0,t2216,26334,2,68,0,11800,11
pomorskie,Gdańsk,1134095,922,428821,297,t2261,489021,97,4463,6,211790,522
pomorskie,Gdynia,431460,514,146005,189,t2262,180327,39,2005,6,103123,280
pomorskie,Słupsk,172722,115,62235,22,t2263,71243,55,484,0,38760,38
pomorskie,Sopot,122608,18,47281,4,t2264,50960,3,204,0,24163,11
śląskie,będziński,167085,9,58860,0,t2401,67599,4,627,0,39999,5
śląskie,bielski,159773,128,55219,20,t2402,67840,11,430,0,36284,97
śląskie,cieszyński,223925,144,83009,52,t2403,95860,16,600,0,44456,76
śląskie,częstochowski,128865,32,47842,3,t2404,53395,9,458,0,27170,20
śląskie,gliwicki,206497,189,68861,68,t2405,88922,22,221,0,48493,99
śląskie,kłobucki,82680,175,30374,66,t2406,35696,21,194,0,16416,88
śląskie,lubliniecki,79045,90,28407,11,t2407,33823,5,97,0,16718,74
śląskie,mikołowski,61044,56,22282,26,t2408,24601,6,271,0,13890,24
śląskie,myszkowski,80280,121,29836,32,t2409,33206,11,131,0,17107,78
śląskie,pszczyński,100789,138,35131,33,t2410,39980,22,375,0,25303,83
śląskie,raciborski,125290,58,46600,23,t2411,53784,5,393,0,24513,30
śląskie,rybnicki,38318,86,14280,19,t2412,15174,10,40,0,8824,57
śląskie,tarnogórski,207326,58,78417,29,t2413,85867,5,492,0,42550,24
śląskie,bieruńsko-lędziński,56407,143,20578,4,t2414,23154,21,89,0,12586,118
śląskie,wodzisławski,181249,90,65513,42,t2415,76828,12,244,0,38664,36
śląskie,zawierciański,153792,118,54082,45,t2416,64983,9,608,0,34119,64
śląskie,żywiecki,150563,259,56496,40,t2417,62655,49,771,0,30641,170
śląskie,Bielsko-Biała,315309,232,115478,37,t2461,134866,23,1237,1,63728,171
śląskie,Bytom,209050,207,76349,56,t2462,89243,19,869,3,42589,129
śląskie,Chorzów,166868,12,60374,1,t2463,70254,0,484,0,35756,11
śląskie,Częstochowa,395443,332,138210,86,t2464,162444,30,846,1,93943,215
śląskie,Dąbrowa Górnicza,143428,61,48905,5,t2465,56546,7,490,0,37487,49
śląskie,Gliwice,369346,246,141029,92,t2466,164947,29,732,1,62638,124
śląskie,Jastrzębie-Zdrój,96328,63,32030,15,t2467,37694,4,687,0,25917,44
śląskie,Jaworzno,132053,93,47893,30,t2468,57026,18,692,0,26442,45
śląskie,Katowice,767733,207,296185,57,t2469,340951,28,2445,0,128152,122
śląskie,Mysłowice,75785,15,27126,1,t2470,29819,0,452,0,18388,14
śląskie,Piekary Śląskie,65167,22,21344,2,t2471,24434,0,283,0,19106,20
śląskie,Ruda Śląska,245523,231,95736,98,t2472,103759,29,716,0,45312,104
śląskie,Rybnik,118949,59,37978,8,t2473,45904,5,270,0,34797,46
śląskie,Siemianowice Śląskie,123351,65,46236,9,t2474,51662,7,246,0,25207,49
śląskie,Sosnowiec,323858,133,113298,44,t2475,135364,11,580,1,74616,77
