wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
mazowieckie,ostrowski,-,-,6,-,-,0.83,0,0,0,19,0,234,48,7,41,0,t1416
mazowieckie,otwocki,-,-,22,-,-,1.77,1,0,1,77,40,731,151,27,114,10,t1417
mazowieckie,piaseczyński,-,-,29,-,-,1.53,0,0,0,153,84,1524,237,49,180,8,t1418
mazowieckie,płocki,-,-,3,-,-,0.27,0,0,0,48,16,452,72,4,65,3,t1419
mazowieckie,płoński,-,-,10,-,-,1.15,2,0,2,35,4,349,80,11,67,2,t1420
mazowieckie,pruszkowski,-,-,19,-,-,1.14,0,0,0,104,52,1422,181,24,152,5,t1421
mazowieckie,przasnyski,-,-,3,-,-,0.57,0,0,0,35,5,237,53,4,49,0,t1422
mazowieckie,przysuski,-,-,1,-,-,0.24,0,0,0,10,2,102,19,2,17,0,t1423
mazowieckie,pułtuski,-,-,3,-,-,0.58,0,0,0,25,0,180,45,3,42,0,t1424
mazowieckie,radomski,-,-,7,-,-,0.46,1,1,0,86,9,421,104,10,87,7,t1425
mazowieckie,siedlecki,-,-,11,-,-,1.35,0,0,0,22,9,205,124,15,103,6,t1426
mazowieckie,sierpecki,-,-,5,-,-,0.97,1,0,1,29,3,232,97,6,88,3,t1427
mazowieckie,sochaczewski,-,-,18,-,-,2.12,1,0,1,66,16,503,183,20,163,0,t1428
mazowieckie,sokołowski,-,-,2,-,-,0.37,2,0,2,15,4,150,46,5,40,1,t1429
mazowieckie,szydłowiecki,-,-,2,-,-,0.51,0,0,0,20,4,62,31,2,27,2,t1430
mazowieckie,warszawski zachodni,-,-,30,-,-,2.51,0,0,0,82,39,933,117,32,83,2,t1432
mazowieckie,węgrowski,-,-,6,-,-,0.91,0,0,0,18,12,245,61,7,48,6,t1433
mazowieckie,wołomiński,-,-,27,-,-,1.07,0,0,0,172,40,1506,241,32,198,11,t1434
mazowieckie,wyszkowski,-,-,12,-,-,1.62,0,0,0,40,9,228,77,14,63,0,t1435
mazowieckie,zwoleński,-,-,2,-,-,0.56,0,0,0,11,4,74,37,4,32,1,t1436
mazowieckie,żuromiński,-,-,1,-,-,0.26,0,0,0,11,5,122,28,2,25,1,t1437
mazowieckie,żyrardowski,-,-,10,-,-,1.32,1,1,0,63,23,448,89,17,69,3,t1438
mazowieckie,Ostrołęka,-,-,5,-,-,0.96,0,0,0,36,5,150,38,5,33,0,t1461
mazowieckie,Płock,-,-,10,-,-,0.84,3,2,1,93,23,467,101,14,84,3,t1462
mazowieckie,Radom,-,-,19,-,-,0.9,2,2,0,91,28,640,267,28,221,18,t1463
mazowieckie,Siedlce,-,-,12,-,-,1.53,0,0,0,28,11,255,162,13,145,4,t1464
mazowieckie,Warszawa,-,-,277,-,-,1.54,7,0,7,995,463,12741,2578,362,2143,73,t1465
opolskie,brzeski,-,-,17,-,-,1.9,0,0,0,56,14,411,82,22,59,1,t1601
opolskie,głubczycki,-,-,5,-,-,1.1,0,0,0,24,3,147,41,6,34,1,t1602
opolskie,kędzierzyńsko-kozielski,-,-,11,-,-,1.18,1,0,1,38,9,335,115,12,101,2,t1603
opolskie,kluczborski,-,-,17,-,-,2.6,1,0,1,24,9,178,85,17,65,3,t1604
opolskie,krapkowicki,-,-,6,-,-,0.94,0,0,0,28,8,204,36,12,23,1,t1605
opolskie,namysłowski,-,-,4,-,-,0.94,0,0,0,12,3,182,22,8,13,1,t1606
opolskie,nyski,-,-,11,-,-,0.81,3,3,0,47,28,356,122,19,102,1,t1607
opolskie,oleski,-,-,7,-,-,1.09,0,0,0,17,0,149,81,7,72,2,t1608
opolskie,opolski,-,-,8,-,-,0.65,0,0,0,68,25,447,101,9,91,1,t1609
opolskie,prudnicki,-,-,6,-,-,1.09,0,0,0,18,2,80,55,6,49,0,t1610
opolskie,strzelecki,-,-,5,-,-,0.67,1,0,1,39,13,234,89,6,82,1,t1611
opolskie,Opole,-,-,19,-,-,1.48,2,0,2,81,33,778,158,23,133,2,t1661
podkarpackie,bieszczadzki,-,-,0,-,-,0.0,0,0,0,16,1,60,13,0,13,0,t1801
podkarpackie,brzozowski,-,-,3,-,-,0.46,0,0,0,18,2,94,112,3,108,1,t1802
podkarpackie,dębicki,-,-,4,-,-,0.3,0,0,0,13,3,122,105,10,94,1,t1803
podkarpackie,jarosławski,-,-,3,-,-,0.25,6,2,4,33,4,306,64,6,58,0,t1804
podkarpackie,jasielski,-,-,1,-,-,0.09,1,0,1,17,5,158,113,1,112,0,t1805
podkarpackie,kolbuszowski,-,-,4,-,-,0.64,2,0,2,10,0,76,90,7,83,0,t1806
podkarpackie,krośnieński,-,-,2,-,-,0.18,0,0,0,17,2,84,73,2,71,0,t1807
podkarpackie,leżajski,-,-,1,-,-,0.14,0,0,0,17,4,168,47,2,45,0,t1808
podkarpackie,lubaczowski,-,-,8,-,-,1.46,1,1,0,20,4,259,53,9,44,0,t1809
podkarpackie,łańcucki,-,-,3,-,-,0.37,0,0,0,39,8,232,64,3,61,0,t1810
podkarpackie,mielecki,-,-,6,-,-,0.44,3,0,3,33,6,260,89,8,81,0,t1811
podkarpackie,niżański,-,-,20,-,-,3.01,1,0,1,17,7,159,83,21,62,0,t1812
podkarpackie,przemyski,-,-,3,-,-,0.41,0,0,0,23,11,204,54,4,50,0,t1813
podkarpackie,przeworski,-,-,1,-,-,0.13,0,0,0,13,0,89,32,2,30,0,t1814
