Date,Voivodeships,Districts,Terytorial Code,14D Total Deaths / 10000,7D AVR Infections / 10000,(% ) Booster Dose,Date - Booster Dose,Population / 10000
,śląskie,Raciborski,2411,,,,,10.741
,śląskie,Rybnicki,2412,,,,,7.8166
,śląskie,Tarnogórski,2413,,,,,14.078
,śląskie,Bieruńsko-Lędziński,2414,,,,,5.9823
,śląskie,Wodzisławski,2415,,,,,15.6579
,śląskie,Zawierciański,2416,,,,,11.6672
,śląskie,Żywiecki,2417,,,,,15.2199
,śląskie,Bielsko-Biała,2461,,,,,16.9756
,śląskie,Bytom,2462,,,,,16.3255
,śląskie,Chorzów,2463,,,,,10.6846
,śląskie,Częstochowa,2464,,,,,21.753
,śląskie,Dąbrowa Górnicza,2465,,,,,11.8285
,śląskie,Gliwice,2466,,,,,17.7049
,śląskie,Jastrzębie-Zdrój,2467,,,,,8.8038
,śląskie,Jaworzno,2468,,,,,9.0368
,śląskie,Katowice,2469,,,,,29.0553
,śląskie,Mysłowice,2470,,,,,7.4559
,śląskie,Piekary Śląskie,2471,,,,,5.4702
,śląskie,Ruda Śląska,2472,,,,,13.6423
,śląskie,Rybnik,2473,,,,,13.7128
,śląskie,Siemianowice Śląskie,2474,,,,,6.627
,śląskie,Sosnowiec,2475,,,,,19.7586
,śląskie,Świętochłowice,2476,,,,,4.9108
,śląskie,Tychy,2477,,,,,12.6871
,śląskie,Zabrze,2478,,,,,17.0924
,śląskie,Żory,2479,,,,,6.2844
,świętokrzyskie,Buski,2601,,,,,7.1125
,świętokrzyskie,Jędrzejowski,2602,,,,,8.4908
,świętokrzyskie,Kazimierski,2603,,,,,3.334
,świętokrzyskie,Kielecki,2604,,,,,21.0992
,świętokrzyskie,Konecki,2605,,,,,7.9072
,świętokrzyskie,Opatowski,2606,,,,,5.1525
,świętokrzyskie,Ostrowiecki,2607,,,,,10.7711
,świętokrzyskie,Pińczowski,2608,,,,,3.8487
,świętokrzyskie,Sandomierski,2609,,,,,7.6346
,świętokrzyskie,Skarżyski,2610,,,,,7.3163
,świętokrzyskie,Starachowicki,2611,,,,,8.8549
,świętokrzyskie,Staszowski,2612,,,,,7.125
,świętokrzyskie,Włoszczowski,2613,,,,,4.4743
,świętokrzyskie,Kielce,2661,,,,,19.3415
,warmińsko-mazurskie,Bartoszycki,2801,,,,,5.6562
,warmińsko-mazurskie,Braniewski,2802,,,,,4.0776
,warmińsko-mazurskie,Działdowski,2803,,,,,6.4768
,warmińsko-mazurskie,Elbląski,2804,,,,,5.6986
,warmińsko-mazurskie,Ełcki,2805,,,,,9.1395
,warmińsko-mazurskie,Giżycki,2806,,,,,5.6227
,warmińsko-mazurskie,Iławski,2807,,,,,9.2644
,warmińsko-mazurskie,Kętrzyński,2808,,,,,6.1772
,warmińsko-mazurskie,Lidzbarski,2809,,,,,4.0852
,warmińsko-mazurskie,Mrągowski,2810,,,,,4.9439
,warmińsko-mazurskie,Nidzicki,2811,,,,,3.2638
,warmińsko-mazurskie,Nowomiejski,2812,,,,,4.3721
,warmińsko-mazurskie,Olecki,2813,,,,,3.3993
,warmińsko-mazurskie,Olsztyński,2814,,,,,12.7544
,warmińsko-mazurskie,Ostródzki,2815,,,,,10.3492
,warmińsko-mazurskie,Piski,2816,,,,,5.5833
,warmińsko-mazurskie,Szczycieński,2817,,,,,6.9089
,warmińsko-mazurskie,Gołdapski,2818,,,,,2.6489
,warmińsko-mazurskie,Węgorzewski,2819,,,,,2.2444
,warmińsko-mazurskie,Elbląg,2861,,,,,11.8582
,warmińsko-mazurskie,Olsztyn,2862,,,,,17.1249
,wielkopolskie,Chodzieski,3001,,,,,4.6824
,wielkopolskie,Czarnkowsko-Trzcianecki,3002,,,,,8.659
,wielkopolskie,Gnieźnieński,3003,,,,,14.5068
,wielkopolskie,Gostyński,3004,,,,,7.5732
,wielkopolskie,Grodziski,3005,,,,,5.1929
,wielkopolskie,Jarociński,3006,,,,,7.1425
,wielkopolskie,Kaliski,3007,,,,,8.2911
,wielkopolskie,Kępiński,3008,,,,,5.6298
,wielkopolskie,Kolski,3009,,,,,8.6108
,wielkopolskie,Koniński,3010,,,,,12.9904
,wielkopolskie,Kościański,3011,,,,,7.8866
,wielkopolskie,Krotoszyński,3012,,,,,7.6998
,wielkopolskie,Leszczyński,3013,,,,,5.7911
,wielkopolskie,Międzychodzki,3014,,,,,3.6633
,wielkopolskie,Nowotomyski,3015,,,,,7.5576
,wielkopolskie,Obornicki,3016,,,,,5.9821
,wielkopolskie,Ostrowski,3017,,,,,16.1357
,wielkopolskie,Ostrzeszowski,3018,,,,,5.5265
,wielkopolskie,Pilski,3019,,,,,13.5477
,wielkopolskie,Pleszewski,3020,,,,,6.2763
,wielkopolskie,Poznański,3021,,,,,40.659
,wielkopolskie,Rawicki,3022,,,,,6.0188
,wielkopolskie,Słupecki,3023,,,,,5.8959
,wielkopolskie,Szamotulski,3024,,,,,9.1745
,wielkopolskie,Średzki,3025,,,,,5.9149
,wielkopolskie,Śremski,3026,,,,,6.1492
,wielkopolskie,Turecki,3027,,,,,8.3599
,wielkopolskie,Wągrowiecki,3028,,,,,7.0096
,wielkopolskie,Wolsztyński,3029,,,,,5.7431
,wielkopolskie,Wrzesiński,3030,,,,,7.8037
,wielkopolskie,Złotowski,3031,,,,,6.9161
,wielkopolskie,Kalisz,3061,,,,,9.9106
,wielkopolskie,Konin,3062,,,,,7.2539
,wielkopolskie,Leszno,3063,,,,,6.2854
,wielkopolskie,Poznań,3064,,,,,53.2048
,zachodniopomorskie,Białogardzki,3201,,,,,4.7304
,zachodniopomorskie,Choszczeński,3202,,,,,4.797
,zachodniopomorskie,Drawski,3203,,,,,5.6482
,zachodniopomorskie,Goleniowski,3204,,,,,8.231
,zachodniopomorskie,Gryficki,3205,,,,,5.9844
,zachodniopomorskie,Gryfiński,3206,,,,,8.1289
,zachodniopomorskie,Kamieński,3207,,,,,4.6692
,zachodniopomorskie,Kołobrzeski,3208,,,,,7.93
,zachodniopomorskie,Koszaliński,3209,,,,,6.6505
,zachodniopomorskie,Myśliborski,3210,,,,,6.5373
,zachodniopomorskie,Policki,3211,,,,,8.1584
,zachodniopomorskie,Pyrzycki,3212,,,,,3.9202
,zachodniopomorskie,Sławieński,3213,,,,,5.5777
,zachodniopomorskie,Stargardzki,3214,,,,,12.0132
,zachodniopomorskie,Szczecinecki,3215,,,,,7.7258
,zachodniopomorskie,Świdwiński,3216,,,,,4.6394
,zachodniopomorskie,Wałecki,3217,,,,,5.2707
,zachodniopomorskie,Łobeski,3218,,,,,3.6486
,zachodniopomorskie,Koszalin,3261,,,,,10.6235
,zachodniopomorskie,Szczecin,3262,,,,,39.8255
,zachodniopomorskie,Świnoujście,3263,,,,,4.0948
