wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
lubelskie,kraśnicki,-,-,2,-,-,0.21,0,0,0,3,0,0,8,2,6,0,t0607,2024-10-21
lubelskie,lubartowski,-,-,3,-,-,0.34,0,0,0,3,0,0,3,3,0,0,t0608,2024-10-21
lubelskie,lubelski,-,-,11,-,-,0.71,0,0,0,14,0,0,34,14,20,0,t0609,2024-10-21
lubelskie,łęczyński,-,-,2,-,-,0.35,0,0,0,7,0,0,10,3,7,0,t0610,2024-10-21
lubelskie,łukowski,-,-,2,-,-,0.19,0,0,0,5,0,0,13,2,11,0,t0611,2024-10-21
lubelskie,opolski,-,-,7,-,-,1.19,0,0,0,14,0,0,37,8,29,0,t0612,2024-10-21
lubelskie,parczewski,-,-,2,-,-,0.58,0,0,0,5,0,0,6,2,4,0,t0613,2024-10-21
lubelskie,puławski,-,-,4,-,-,0.35,0,0,0,8,0,0,10,4,6,0,t0614,2024-10-21
lubelskie,radzyński,-,-,0,-,-,0.0,0,0,0,3,0,0,3,0,3,0,t0615,2024-10-21
lubelskie,rycki,-,-,3,-,-,0.54,0,0,0,7,0,0,9,3,6,0,t0616,2024-10-21
lubelskie,świdnicki,-,-,3,-,-,0.42,0,0,0,10,0,0,12,3,9,0,t0617,2024-10-21
lubelskie,tomaszowski,-,-,2,-,-,0.24,0,0,0,2,0,0,3,2,1,0,t0618,2024-10-21
lubelskie,włodawski,-,-,3,-,-,0.79,0,0,0,2,0,0,6,3,3,0,t0619,2024-10-21
lubelskie,zamojski,-,-,11,-,-,1.04,0,0,0,21,0,0,27,11,16,0,t0620,2024-10-21
lubelskie,Biała Podlaska,-,-,5,-,-,0.87,0,0,0,4,0,0,16,5,11,0,t0661,2024-10-21
lubelskie,Chełm,-,-,1,-,-,0.16,0,0,0,1,0,0,1,1,0,0,t0662,2024-10-21
lubelskie,Lublin,-,-,33,-,-,0.97,0,0,0,35,0,0,78,34,44,0,t0663,2024-10-21
lubelskie,Zamość,-,-,3,-,-,0.47,0,0,0,6,0,0,14,4,10,0,t0664,2024-10-21
lubuskie,gorzowski,-,-,0,-,-,0.0,0,0,0,0,0,0,2,0,2,0,t0801,2024-10-21
lubuskie,krośnieński,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0802,2024-10-21
lubuskie,międzyrzecki,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0803,2024-10-21
lubuskie,nowosolski,-,-,8,-,-,0.93,0,0,0,5,0,0,10,8,2,0,t0804,2024-10-21
lubuskie,słubicki,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0805,2024-10-21
lubuskie,strzelecko-drezdenecki,-,-,2,-,-,0.41,0,0,0,9,0,0,14,2,12,0,t0806,2024-10-21
lubuskie,sulęciński,-,-,0,-,-,0.0,0,0,0,1,0,0,1,0,1,0,t0807,2024-10-21
lubuskie,świebodziński,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0808,2024-10-21
lubuskie,zielonogórski,-,-,1,-,-,0.13,0,0,0,3,0,0,3,1,2,0,t0809,2024-10-21
lubuskie,żagański,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0810,2024-10-21
lubuskie,żarski,-,-,0,-,-,0.0,0,0,0,1,0,0,2,0,2,0,t0811,2024-10-21
lubuskie,wschowski,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0812,2024-10-21
lubuskie,Gorzów Wielkopolski,-,-,3,-,-,0.24,0,0,0,2,0,0,12,3,9,0,t0861,2024-10-21
lubuskie,Zielona Góra,-,-,3,-,-,0.21,0,0,0,5,0,0,5,3,2,0,t0862,2024-10-21
łódzkie,bełchatowski,-,-,1,-,-,0.09,0,0,0,4,0,0,4,1,3,0,t1001,2024-10-21
łódzkie,kutnowski,-,-,0,-,-,0.0,0,0,0,21,0,0,22,0,21,1,t1002,2024-10-21
łódzkie,łaski,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t1003,2024-10-21
łódzkie,łęczycki,-,-,1,-,-,0.2,0,0,0,1,0,0,1,1,0,0,t1004,2024-10-21
łódzkie,łowicki,-,-,2,-,-,0.26,0,0,0,4,0,0,7,2,5,0,t1005,2024-10-21
łódzkie,łódzki wschodni,-,-,0,-,-,0.0,0,0,0,1,0,0,1,0,1,0,t1006,2024-10-21
łódzkie,opoczyński,-,-,1,-,-,0.13,0,0,0,2,0,0,3,1,2,0,t1007,2024-10-21
łódzkie,pabianicki,-,-,1,-,-,0.08,0,0,0,0,0,0,7,1,6,0,t1008,2024-10-21
łódzkie,pajęczański,-,-,0,-,-,0.0,0,0,0,0,0,0,1,0,1,0,t1009,2024-10-21
łódzkie,piotrkowski,-,-,2,-,-,0.22,0,0,0,0,0,0,3,2,1,0,t1010,2024-10-21
łódzkie,poddębicki,-,-,1,-,-,0.24,0,0,0,0,0,0,5,1,4,0,t1011,2024-10-21
łódzkie,radomszczański,-,-,5,-,-,0.45,0,0,0,4,0,0,10,5,5,0,t1012,2024-10-21
łódzkie,rawski,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t1013,2024-10-21
łódzkie,sieradzki,-,-,2,-,-,0.17,0,0,0,3,0,0,5,2,3,0,t1014,2024-10-21
łódzkie,skierniewicki,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t1015,2024-10-21
łódzkie,tomaszowski,-,-,3,-,-,0.26,0,0,0,0,0,0,8,4,4,0,t1016,2024-10-21
łódzkie,wieluński,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t1017,2024-10-21
łódzkie,wieruszowski,-,-,2,-,-,0.48,0,0,0,3,0,0,4,2,2,0,t1018,2024-10-21
łódzkie,zduńskowolski,-,-,1,-,-,0.15,0,0,0,3,0,0,3,1,2,0,t1019,2024-10-21
łódzkie,zgierski,-,-,7,-,-,0.42,0,0,0,10,0,0,15,7,8,0,t1020,2024-10-21
łódzkie,brzeziński,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t1021,2024-10-21
łódzkie,Łódź,-,-,13,-,-,0.19,1,1,0,20,0,0,39,13,26,0,t1061,2024-10-21
łódzkie,Piotrków Trybunalski,-,-,2,-,-,0.27,0,0,0,2,0,0,2,2,0,0,t1062,2024-10-21
łódzkie,Skierniewice,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t1063,2024-10-21
małopolskie,bocheński,-,-,3,-,-,0.28,0,0,0,8,0,0,9,3,6,0,t1201,2024-10-21
małopolskie,brzeski,-,-,6,-,-,0.64,0,0,0,3,0,0,13,6,7,0,t1202,2024-10-21
małopolskie,chrzanowski,-,-,10,-,-,0.81,0,0,0,8,0,0,10,10,0,0,t1203,2024-10-21
małopolskie,dąbrowski,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t1204,2024-10-21
małopolskie,gorlicki,-,-,7,-,-,0.64,0,0,0,13,0,0,18,7,11,0,t1205,2024-10-21
małopolskie,krakowski,-,-,1,-,-,0.04,0,0,0,2,0,0,7,1,6,0,t1206,2024-10-21
małopolskie,limanowski,-,-,1,-,-,0.08,0,0,0,0,0,0,3,1,2,0,t1207,2024-10-21
małopolskie,miechowski,-,-,1,-,-,0.21,0,0,0,1,0,0,1,1,0,0,t1208,2024-10-21
małopolskie,myślenicki,-,-,0,-,-,0.0,0,0,0,0,0,0,2,0,2,0,t1209,2024-10-21
małopolskie,nowosądecki,-,-,1,-,-,0.05,0,0,0,0,0,0,4,1,3,0,t1210,2024-10-21
małopolskie,nowotarski,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t1211,2024-10-21
małopolskie,olkuski,-,-,0,-,-,0.0,0,0,0,1,0,0,2,0,2,0,t1212,2024-10-21
małopolskie,oświęcimski,-,-,8,-,-,0.52,0,0,0,14,0,0,21,9,12,0,t1213,2024-10-21
małopolskie,proszowicki,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t1214,2024-10-21
małopolskie,suski,-,-,2,-,-,0.24,0,0,0,1,0,0,2,2,0,0,t1215,2024-10-21
małopolskie,tarnowski,-,-,1,-,-,0.05,0,0,0,0,0,0,3,1,2,0,t1216,2024-10-21
małopolskie,tatrzański,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t1217,2024-10-21
małopolskie,wadowicki,-,-,7,-,-,0.44,0,0,0,47,0,0,47,7,40,0,t1218,2024-10-21
małopolskie,wielicki,-,-,2,-,-,0.15,0,0,0,2,0,0,12,2,10,0,t1219,2024-10-21
małopolskie,Kraków,-,-,26,-,-,0.33,0,0,0,39,0,0,96,26,70,0,t1261,2024-10-21
małopolskie,Nowy Sącz,-,-,2,-,-,0.24,0,0,0,1,0,0,8,2,6,0,t1262,2024-10-21
małopolskie,Tarnów,-,-,3,-,-,0.28,0,0,0,2,0,0,3,3,0,0,t1263,2024-10-21
mazowieckie,białobrzeski,-,-,5,-,-,1.5,0,0,0,0,0,0,5,5,0,0,t1401,2024-10-21
mazowieckie,ciechanowski,-,-,4,-,-,0.45,0,0,0,10,0,0,12,4,8,0,t1402,2024-10-21
mazowieckie,garwoliński,-,-,5,-,-,0.46,0,0,0,4,0,0,16,6,10,0,t1403,2024-10-21
mazowieckie,gostyniński,-,-,2,-,-,0.45,0,0,0,1,0,0,4,2,2,0,t1404,2024-10-21
mazowieckie,grodziski,-,-,1,-,-,0.1,0,0,0,9,0,0,11,1,10,0,t1405,2024-10-21
mazowieckie,grójecki,-,-,2,-,-,0.2,0,0,0,1,0,0,4,2,2,0,t1406,2024-10-21
mazowieckie,kozienicki,-,-,8,-,-,1.34,0,0,0,3,0,0,11,8,3,0,t1407,2024-10-21
mazowieckie,legionowski,-,-,3,-,-,0.25,0,0,0,2,0,0,4,3,1,0,t1408,2024-10-21
mazowieckie,lipski,-,-,4,-,-,1.19,0,0,0,1,0,0,5,4,1,0,t1409,2024-10-21
mazowieckie,łosicki,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t1410,2024-10-21
mazowieckie,makowski,-,-,2,-,-,0.45,0,0,0,1,0,0,2,2,0,0,t1411,2024-10-21
mazowieckie,miński,-,-,3,-,-,0.19,0,0,0,13,0,0,25,3,22,0,t1412,2024-10-21
mazowieckie,mławski,-,-,1,-,-,0.14,0,0,0,2,0,0,8,1,7,0,t1413,2024-10-21
mazowieckie,nowodworski,-,-,1,-,-,0.13,0,0,0,0,0,0,27,1,26,0,t1414,2024-10-21
mazowieckie,ostrołęcki,-,-,2,-,-,0.23,0,0,0,1,0,0,3,3,0,0,t1415,2024-10-21
