wojewodztwo,powiat,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_wszystkich_zakazen,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_wszystkich_zakazen_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
łódzkie,wieruszowski,1,0,1,0.24,0.0,0.24,0,0,0,3,0,0,5,1,4,0,t1018,2022-11-22
łódzkie,zduńskowolski,1,0,1,0.15,0.0,0.15,0,0,0,4,0,0,14,2,12,0,t1019,2022-11-22
łódzkie,zgierski,7,3,10,0.42,0.18,0.6,0,0,0,3,0,0,43,10,33,0,t1020,2022-11-22
łódzkie,brzeziński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t1021,2022-11-22
łódzkie,Łódź,6,1,7,0.09,0.01,0.1,0,0,0,22,0,0,75,7,68,0,t1061,2022-11-22
łódzkie,Piotrków Trybunalski,4,0,4,0.55,0.0,0.55,0,0,0,0,0,0,9,5,4,0,t1062,2022-11-22
łódzkie,Skierniewice,0,0,0,0.0,0.0,0.0,0,0,0,6,0,0,6,0,6,0,t1063,2022-11-22
małopolskie,bocheński,0,0,0,0.0,0.0,0.0,0,0,0,6,0,0,10,0,10,0,t1201,2022-11-22
małopolskie,brzeski,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,16,0,16,0,t1202,2022-11-22
małopolskie,chrzanowski,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,10,0,10,0,t1203,2022-11-22
małopolskie,dąbrowski,1,0,1,0.17,0.0,0.17,0,0,0,1,0,0,3,1,2,0,t1204,2022-11-22
małopolskie,gorlicki,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,7,0,7,0,t1205,2022-11-22
małopolskie,krakowski,3,1,4,0.11,0.04,0.14,0,0,0,12,0,0,40,4,36,0,t1206,2022-11-22
małopolskie,limanowski,2,1,3,0.15,0.08,0.23,0,0,0,6,0,0,16,3,13,0,t1207,2022-11-22
małopolskie,miechowski,0,0,0,0.0,0.0,0.0,0,0,0,8,0,0,12,0,12,0,t1208,2022-11-22
małopolskie,myślenicki,2,0,2,0.16,0.0,0.16,0,0,0,3,0,0,17,2,15,0,t1209,2022-11-22
małopolskie,nowosądecki,2,0,2,0.09,0.0,0.09,0,0,0,2,0,0,14,3,11,0,t1210,2022-11-22
małopolskie,nowotarski,2,1,3,0.1,0.05,0.16,0,0,0,4,0,0,21,3,18,0,t1211,2022-11-22
małopolskie,olkuski,4,1,5,0.36,0.09,0.45,0,0,0,7,0,0,25,5,20,0,t1212,2022-11-22
małopolskie,oświęcimski,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,14,0,14,0,t1213,2022-11-22
małopolskie,proszowicki,1,0,1,0.23,0.0,0.23,0,0,0,3,0,0,4,1,3,0,t1214,2022-11-22
małopolskie,suski,1,0,1,0.12,0.0,0.12,0,0,0,4,0,0,17,1,16,0,t1215,2022-11-22
małopolskie,tarnowski,0,0,0,0.0,0.0,0.0,0,0,0,7,0,0,15,0,15,0,t1216,2022-11-22
małopolskie,tatrzański,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,13,0,13,0,t1217,2022-11-22
małopolskie,wadowicki,1,0,1,0.06,0.0,0.06,0,0,0,16,0,0,19,1,18,0,t1218,2022-11-22
małopolskie,wielicki,1,1,2,0.08,0.08,0.15,0,0,0,4,0,0,27,2,25,0,t1219,2022-11-22
małopolskie,Kraków,10,3,13,0.13,0.04,0.17,0,0,0,38,0,0,137,14,122,1,t1261,2022-11-22
małopolskie,Nowy Sącz,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,5,0,5,0,t1262,2022-11-22
małopolskie,Tarnów,1,0,1,0.09,0.0,0.09,0,0,0,7,0,0,9,1,8,0,t1263,2022-11-22
mazowieckie,białobrzeski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t1401,2022-11-22
mazowieckie,ciechanowski,2,1,3,0.22,0.11,0.34,0,0,0,6,0,0,18,4,13,1,t1402,2022-11-22
mazowieckie,garwoliński,2,0,2,0.18,0.0,0.18,0,0,0,4,0,0,14,2,11,1,t1403,2022-11-22
mazowieckie,gostyniński,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,5,0,5,0,t1404,2022-11-22
mazowieckie,grodziski,3,0,3,0.31,0.0,0.31,0,0,0,8,0,0,12,3,9,0,t1405,2022-11-22
mazowieckie,grójecki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,14,0,14,0,t1406,2022-11-22
mazowieckie,kozienicki,1,0,1,0.17,0.0,0.17,1,0,1,3,0,0,9,1,8,0,t1407,2022-11-22
mazowieckie,legionowski,2,0,2,0.17,0.0,0.17,0,0,0,7,0,0,15,2,13,0,t1408,2022-11-22
mazowieckie,lipski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,4,0,t1409,2022-11-22
mazowieckie,łosicki,1,0,1,0.33,0.0,0.33,0,0,0,1,0,0,6,1,5,0,t1410,2022-11-22
mazowieckie,makowski,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,3,0,3,0,t1411,2022-11-22
mazowieckie,miński,1,0,1,0.06,0.0,0.06,0,0,0,3,0,0,15,1,14,0,t1412,2022-11-22
mazowieckie,mławski,1,0,1,0.14,0.0,0.14,1,0,1,0,0,0,16,1,15,0,t1413,2022-11-22
mazowieckie,nowodworski,2,1,3,0.25,0.13,0.38,0,0,0,0,0,0,23,3,20,0,t1414,2022-11-22
