wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
podkarpackie,przemyski,-,-,49,-,-,6.62,0,0,0,121,21,1517,234,57,175,2,t1813,2022-01-24
podkarpackie,przeworski,-,-,73,-,-,9.33,0,0,0,140,39,3085,224,80,143,1,t1814,2022-01-24
podkarpackie,ropczycko-sędziszowski,-,-,27,-,-,3.62,0,0,0,105,25,1680,143,31,112,0,t1815,2022-01-24
podkarpackie,rzeszowski,-,-,250,-,-,14.71,0,0,0,390,79,6899,796,302,489,5,t1816,2022-01-24
podkarpackie,sanocki,-,-,41,-,-,4.35,0,0,0,161,48,2312,271,51,219,1,t1817,2022-01-24
podkarpackie,stalowowolski,-,-,37,-,-,3.5,0,0,0,178,36,2713,230,48,181,1,t1818,2022-01-24
podkarpackie,strzyżowski,-,-,39,-,-,6.36,0,0,0,175,14,1926,172,50,122,0,t1819,2022-01-24
podkarpackie,tarnobrzeski,-,-,37,-,-,7.0,0,0,0,109,17,1091,163,38,124,1,t1820,2022-01-24
podkarpackie,leski,-,-,22,-,-,8.33,0,0,0,53,14,813,77,27,49,1,t1821,2022-01-24
podkarpackie,Krosno,-,-,35,-,-,7.59,0,0,0,85,21,379,177,42,135,0,t1861,2022-01-24
podkarpackie,Przemyśl,-,-,32,-,-,5.29,0,0,0,130,22,1415,181,40,139,2,t1862,2022-01-24
