wojewodztwo,powiat,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_wszystkich_zakazen,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_wszystkich_zakazen_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
łódzkie,skierniewicki,7,0,7,1.83,0.0,1.83,0,0,0,0,5,50,45,7,38,0,t1015,2022-03-12
łódzkie,tomaszowski,10,0,10,0.86,0.0,0.86,0,0,0,1,6,68,88,11,77,0,t1016,2022-03-12
łódzkie,wieluński,2,0,2,0.26,0.0,0.26,0,0,0,1,7,40,51,3,47,1,t1017,2022-03-12
łódzkie,wieruszowski,7,0,7,1.66,0.0,1.66,0,0,0,0,1,27,39,8,31,0,t1018,2022-03-12
łódzkie,zduńskowolski,9,2,11,1.36,0.3,1.66,0,0,0,0,4,41,72,11,61,0,t1019,2022-03-12
łódzkie,zgierski,15,2,17,0.9,0.12,1.02,0,0,0,2,24,230,189,20,169,0,t1020,2022-03-12
łódzkie,brzeziński,1,1,2,0.32,0.32,0.65,0,0,0,0,0,39,29,2,27,0,t1021,2022-03-12
łódzkie,Łódź,176,26,202,2.6,0.38,2.98,0,0,0,14,130,1159,1279,229,1037,13,t1061,2022-03-12
łódzkie,Piotrków Trybunalski,5,0,5,0.69,0.0,0.69,0,0,0,0,3,46,54,6,47,1,t1062,2022-03-12
łódzkie,Skierniewice,8,1,9,1.67,0.21,1.88,0,0,0,0,10,62,77,10,67,0,t1063,2022-03-12
małopolskie,bocheński,3,3,6,0.28,0.28,0.56,1,0,1,0,9,76,78,6,71,1,t1201,2022-03-12
małopolskie,brzeski,1,0,1,0.11,0.0,0.11,0,0,0,0,2,47,68,1,67,0,t1202,2022-03-12
małopolskie,chrzanowski,25,1,26,2.01,0.08,2.09,0,0,0,3,10,101,167,27,140,0,t1203,2022-03-12
małopolskie,dąbrowski,0,0,0,0.0,0.0,0.0,0,0,0,0,1,31,22,0,22,0,t1204,2022-03-12
małopolskie,gorlicki,9,0,9,0.83,0.0,0.83,0,0,0,0,5,64,121,9,111,1,t1205,2022-03-12
małopolskie,krakowski,48,9,57,1.71,0.32,2.03,0,0,0,0,32,451,317,61,253,3,t1206,2022-03-12
małopolskie,limanowski,3,0,3,0.23,0.0,0.23,0,0,0,0,3,92,82,3,79,0,t1207,2022-03-12
małopolskie,miechowski,4,0,4,0.82,0.0,0.82,0,0,0,0,9,53,33,6,27,0,t1208,2022-03-12
małopolskie,myślenicki,20,1,21,1.56,0.08,1.64,0,0,0,1,5,92,84,22,62,0,t1209,2022-03-12
małopolskie,nowosądecki,6,0,6,0.28,0.0,0.28,0,0,0,1,4,80,151,9,141,1,t1210,2022-03-12
małopolskie,nowotarski,2,0,2,0.1,0.0,0.1,0,0,0,0,2,68,107,3,103,1,t1211,2022-03-12
małopolskie,olkuski,14,0,14,1.26,0.0,1.26,0,0,0,0,3,109,99,16,83,0,t1212,2022-03-12
małopolskie,oświęcimski,6,0,6,0.39,0.0,0.39,0,0,0,0,6,113,94,7,87,0,t1213,2022-03-12
małopolskie,proszowicki,3,0,3,0.7,0.0,0.7,0,0,0,0,9,34,33,3,30,0,t1214,2022-03-12
małopolskie,suski,7,0,7,0.83,0.0,0.83,0,0,0,0,2,43,65,7,57,1,t1215,2022-03-12
małopolskie,tarnowski,7,2,9,0.35,0.1,0.45,0,0,0,0,12,146,105,10,95,0,t1216,2022-03-12
małopolskie,tatrzański,0,1,1,0.0,0.15,0.15,0,0,0,0,3,33,66,1,65,0,t1217,2022-03-12
małopolskie,wadowicki,7,4,11,0.44,0.25,0.69,0,0,0,1,10,127,99,12,86,1,t1218,2022-03-12
małopolskie,wielicki,18,1,19,1.38,0.08,1.46,0,0,0,0,19,191,103,19,82,2,t1219,2022-03-12
małopolskie,Kraków,247,19,266,3.16,0.24,3.41,0,0,0,4,189,1553,1337,279,1040,18,t1261,2022-03-12
małopolskie,Nowy Sącz,3,0,3,0.36,0.0,0.36,0,0,0,0,3,44,59,5,54,0,t1262,2022-03-12
małopolskie,Tarnów,8,1,9,0.74,0.09,0.83,0,0,0,0,5,72,86,9,77,0,t1263,2022-03-12
mazowieckie,białobrzeski,7,0,7,2.1,0.0,2.1,0,0,0,0,1,52,45,7,37,1,t1401,2022-03-12
mazowieckie,ciechanowski,9,0,9,1.01,0.0,1.01,0,0,0,0,4,84,56,10,45,1,t1402,2022-03-12
mazowieckie,garwoliński,15,2,17,1.38,0.18,1.56,0,0,0,1,5,125,145,20,123,2,t1403,2022-03-12
mazowieckie,gostyniński,7,0,7,1.56,0.0,1.56,0,0,0,3,7,50,48,8,39,1,t1404,2022-03-12
mazowieckie,grodziski,34,2,36,3.52,0.21,3.72,0,0,0,2,25,312,201,39,158,4,t1405,2022-03-12
mazowieckie,grójecki,18,3,21,1.83,0.31,2.14,0,0,0,3,16,166,156,24,129,3,t1406,2022-03-12
mazowieckie,kozienicki,5,1,6,0.84,0.17,1.0,0,0,0,4,14,83,113,7,104,2,t1407,2022-03-12
mazowieckie,legionowski,64,7,71,5.36,0.59,5.95,0,0,0,1,36,332,260,71,188,1,t1408,2022-03-12
mazowieckie,lipski,0,0,0,0.0,0.0,0.0,0,0,0,0,3,25,17,0,16,1,t1409,2022-03-12
mazowieckie,łosicki,1,0,1,0.33,0.0,0.33,0,0,0,0,2,48,17,2,15,0,t1410,2022-03-12
mazowieckie,makowski,3,0,3,0.67,0.0,0.67,0,0,0,0,9,26,38,3,34,1,t1411,2022-03-12
mazowieckie,miński,21,1,22,1.36,0.06,1.42,0,0,0,2,25,225,282,36,231,15,t1412,2022-03-12
mazowieckie,mławski,3,0,3,0.41,0.0,0.41,0,0,0,0,4,67,55,3,52,0,t1413,2022-03-12
mazowieckie,nowodworski,9,4,13,1.13,0.5,1.64,0,0,0,0,9,106,91,13,74,4,t1414,2022-03-12
mazowieckie,ostrołęcki,4,0,4,0.45,0.0,0.45,0,0,0,0,7,58,70,5,65,0,t1415,2022-03-12
mazowieckie,ostrowski,1,0,1,0.14,0.0,0.14,0,0,0,0,2,33,41,2,39,0,t1416,2022-03-12
mazowieckie,otwocki,39,0,39,3.13,0.0,3.13,0,0,0,1,15,237,206,44,162,0,t1417,2022-03-12
mazowieckie,piaseczyński,71,3,74,3.75,0.16,3.9,0,0,0,4,63,561,406,79,322,5,t1418,2022-03-12
mazowieckie,płocki,11,1,12,0.99,0.09,1.08,0,0,0,0,8,147,96,13,82,1,t1419,2022-03-12
mazowieckie,płoński,5,0,5,0.58,0.0,0.58,0,0,0,0,1,104,53,7,45,1,t1420,2022-03-12
mazowieckie,pruszkowski,84,6,90,5.05,0.36,5.41,0,0,0,3,68,430,528,100,425,3,t1421,2022-03-12
mazowieckie,przasnyski,5,2,7,0.96,0.38,1.34,0,0,0,0,2,41,56,7,49,0,t1422,2022-03-12
mazowieckie,przysuski,3,0,3,0.73,0.0,0.73,0,0,0,0,1,25,34,3,31,0,t1423,2022-03-12
mazowieckie,pułtuski,6,0,6,1.16,0.0,1.16,0,0,0,0,6,73,51,7,42,2,t1424,2022-03-12
mazowieckie,radomski,13,1,14,0.85,0.07,0.92,0,0,0,0,7,161,166,14,152,0,t1425,2022-03-12
mazowieckie,siedlecki,4,0,4,0.49,0.0,0.49,0,0,0,0,7,56,57,6,49,2,t1426,2022-03-12
mazowieckie,sierpecki,4,0,4,0.77,0.0,0.77,0,0,0,1,2,44,18,4,14,0,t1427,2022-03-12
mazowieckie,sochaczewski,20,2,22,2.35,0.24,2.59,0,0,0,1,24,226,123,22,100,1,t1428,2022-03-12
mazowieckie,sokołowski,1,0,1,0.19,0.0,0.19,0,0,0,0,3,35,39,1,36,2,t1429,2022-03-12
mazowieckie,szydłowiecki,3,0,3,0.76,0.0,0.76,0,0,0,2,4,27,49,3,46,0,t1430,2022-03-12
mazowieckie,warszawski zachodni,54,8,62,4.52,0.67,5.19,0,0,0,4,29,369,292,66,212,14,t1432,2022-03-12
mazowieckie,węgrowski,8,0,8,1.22,0.0,1.22,0,0,0,0,6,61,44,10,34,0,t1433,2022-03-12
mazowieckie,wołomiński,55,6,61,2.19,0.24,2.43,1,1,0,8,43,545,371,63,300,8,t1434,2022-03-12
mazowieckie,wyszkowski,2,0,2,0.27,0.0,0.27,0,0,0,0,8,70,49,2,41,6,t1435,2022-03-12
mazowieckie,zwoleński,6,0,6,1.67,0.0,1.67,0,0,0,0,3,65,39,7,31,1,t1436,2022-03-12
mazowieckie,żuromiński,1,0,1,0.26,0.0,0.26,0,0,0,0,3,22,37,1,35,1,t1437,2022-03-12
mazowieckie,żyrardowski,20,3,23,2.64,0.4,3.04,0,0,0,0,12,143,113,25,85,3,t1438,2022-03-12
mazowieckie,Ostrołęka,6,0,6,1.16,0.0,1.16,0,0,0,0,7,35,44,6,37,1,t1461,2022-03-12
mazowieckie,Płock,18,1,19,1.51,0.08,1.6,0,0,0,0,11,174,117,21,94,2,t1462,2022-03-12
mazowieckie,Radom,24,7,31,1.14,0.33,1.47,0,0,0,4,12,215,328,36,292,0,t1463,2022-03-12
mazowieckie,Siedlce,13,1,14,1.66,0.13,1.79,0,0,0,0,5,95,106,20,84,2,t1464,2022-03-12
mazowieckie,Warszawa,632,66,698,3.52,0.37,3.89,1,0,1,58,627,5488,4572,753,3692,127,t1465,2022-03-12
opolskie,brzeski,15,0,15,1.67,0.0,1.67,0,0,0,1,6,91,52,16,34,2,t1601,2022-03-12
opolskie,głubczycki,8,0,8,1.77,0.0,1.77,0,0,0,2,2,54,227,10,217,0,t1602,2022-03-12
opolskie,kędzierzyńsko-kozielski,11,0,11,1.18,0.0,1.18,0,0,0,0,3,72,58,13,45,0,t1603,2022-03-12
opolskie,kluczborski,13,0,13,1.99,0.0,1.99,0,0,0,5,6,103,68,13,55,0,t1604,2022-03-12
opolskie,krapkowicki,9,2,11,1.42,0.31,1.73,0,0,0,0,3,65,46,11,33,2,t1605,2022-03-12
opolskie,namysłowski,3,0,3,0.7,0.0,0.7,0,0,0,0,0,70,37,3,34,0,t1606,2022-03-12
opolskie,nyski,12,3,15,0.89,0.22,1.11,0,0,0,0,22,126,83,15,68,0,t1607,2022-03-12
opolskie,oleski,1,0,1,0.16,0.0,0.16,0,0,0,0,5,41,31,1,30,0,t1608,2022-03-12
opolskie,opolski,9,0,9,0.73,0.0,0.73,0,0,0,4,19,153,84,9,74,1,t1609,2022-03-12
opolskie,prudnicki,3,0,3,0.54,0.0,0.54,0,0,0,0,6,75,43,3,40,0,t1610,2022-03-12
opolskie,strzelecki,6,2,8,0.81,0.27,1.08,0,0,0,0,1,60,49,9,40,0,t1611,2022-03-12
opolskie,Opole,31,5,36,2.42,0.39,2.81,0,0,0,11,18,241,162,37,124,1,t1661,2022-03-12
podkarpackie,bieszczadzki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,4,17,0,17,0,t1801,2022-03-12
podkarpackie,brzozowski,0,0,0,0.0,0.0,0.0,0,0,0,0,3,28,40,0,40,0,t1802,2022-03-12
