wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
łódzkie,pajęczański,-,-,2,-,-,0.39,0,0,0,11,10,195,38,2,36,0,t1009,2021-01-29
łódzkie,piotrkowski,-,-,14,-,-,1.53,0,0,0,17,10,286,87,15,71,1,t1010,2021-01-29
łódzkie,poddębicki,-,-,3,-,-,0.73,0,0,0,7,6,182,35,4,30,1,t1011,2021-01-29
łódzkie,radomszczański,-,-,26,-,-,2.32,1,1,0,21,28,456,134,30,103,1,t1012,2021-01-29
łódzkie,rawski,-,-,6,-,-,1.24,0,0,0,13,9,395,43,6,37,0,t1013,2021-01-29
łódzkie,sieradzki,-,-,6,-,-,0.51,1,0,1,13,7,394,112,9,102,1,t1014,2021-01-29
łódzkie,skierniewicki,-,-,4,-,-,1.05,0,0,0,10,7,223,39,4,35,0,t1015,2021-01-29
łódzkie,tomaszowski,-,-,12,-,-,1.03,0,0,0,20,10,321,135,12,122,1,t1016,2021-01-29
łódzkie,wieluński,-,-,4,-,-,0.53,0,0,0,6,15,240,80,6,72,2,t1017,2021-01-29
łódzkie,wieruszowski,-,-,2,-,-,0.48,0,0,0,4,3,124,32,3,29,0,t1018,2021-01-29
łódzkie,zduńskowolski,-,-,12,-,-,1.81,0,0,0,15,4,177,67,14,53,0,t1019,2021-01-29
łódzkie,zgierski,-,-,21,-,-,1.26,0,0,0,44,26,738,199,21,173,5,t1020,2021-01-29
łódzkie,brzeziński,-,-,11,-,-,3.57,1,0,1,15,4,156,49,12,37,0,t1021,2021-01-29
łódzkie,Łódź,-,-,94,-,-,1.39,4,0,4,242,172,3869,950,111,815,24,t1061,2021-01-29
łódzkie,Piotrków Trybunalski,-,-,17,-,-,2.34,2,1,1,28,10,343,84,18,66,0,t1062,2021-01-29
łódzkie,Skierniewice,-,-,9,-,-,1.88,0,0,0,21,7,218,54,11,43,0,t1063,2021-01-29
małopolskie,bocheński,-,-,3,-,-,0.28,1,0,1,16,8,238,80,4,75,1,t1201,2021-01-29
małopolskie,brzeski,-,-,14,-,-,1.5,0,0,0,19,6,232,110,15,95,0,t1202,2021-01-29
małopolskie,chrzanowski,-,-,7,-,-,0.56,0,0,0,24,16,256,85,7,78,0,t1203,2021-01-29
małopolskie,dąbrowski,-,-,1,-,-,0.17,1,1,0,7,3,56,36,1,35,0,t1204,2021-01-29
małopolskie,gorlicki,-,-,3,-,-,0.28,0,0,0,6,4,154,79,3,73,3,t1205,2021-01-29
małopolskie,krakowski,-,-,38,-,-,1.36,2,2,0,72,51,907,230,41,182,7,t1206,2021-01-29
małopolskie,limanowski,-,-,3,-,-,0.23,0,0,0,3,6,185,95,3,91,1,t1207,2021-01-29
małopolskie,miechowski,-,-,3,-,-,0.62,0,0,0,6,5,114,27,3,23,1,t1208,2021-01-29
małopolskie,myślenicki,-,-,4,-,-,0.31,0,0,0,10,8,377,68,4,63,1,t1209,2021-01-29
małopolskie,nowosądecki,-,-,8,-,-,0.37,0,0,0,10,3,253,126,10,115,1,t1210,2021-01-29
małopolskie,nowotarski,-,-,3,-,-,0.16,2,0,2,8,2,190,113,3,110,0,t1211,2021-01-29
małopolskie,olkuski,-,-,9,-,-,0.81,0,0,0,12,10,228,83,9,74,0,t1212,2021-01-29
małopolskie,oświęcimski,-,-,16,-,-,1.04,0,0,0,14,18,376,92,19,72,1,t1213,2021-01-29
małopolskie,proszowicki,-,-,3,-,-,0.7,0,0,0,4,3,70,36,4,32,0,t1214,2021-01-29
małopolskie,suski,-,-,1,-,-,0.12,1,0,1,8,10,156,64,1,63,0,t1215,2021-01-29
małopolskie,tarnowski,-,-,12,-,-,0.6,0,0,0,29,9,265,126,13,112,1,t1216,2021-01-29
małopolskie,tatrzański,-,-,0,-,-,0.0,0,0,0,4,4,103,58,0,58,0,t1217,2021-01-29
małopolskie,wadowicki,-,-,8,-,-,0.5,0,0,0,31,12,368,113,8,104,1,t1218,2021-01-29
małopolskie,wielicki,-,-,7,-,-,0.54,0,0,0,31,16,477,95,7,85,3,t1219,2021-01-29
małopolskie,Kraków,-,-,104,-,-,1.33,2,2,0,231,121,2910,836,108,713,15,t1261,2021-01-29
małopolskie,Nowy Sącz,-,-,5,-,-,0.6,0,0,0,8,4,129,67,5,62,0,t1262,2021-01-29
małopolskie,Tarnów,-,-,13,-,-,1.2,0,0,0,19,4,217,84,15,66,3,t1263,2021-01-29
mazowieckie,białobrzeski,-,-,3,-,-,0.9,1,1,0,11,5,338,22,4,17,1,t1401,2021-01-29
mazowieckie,ciechanowski,-,-,17,-,-,1.91,0,0,0,42,12,507,111,17,94,0,t1402,2021-01-29
mazowieckie,garwoliński,-,-,4,-,-,0.37,2,2,0,16,3,281,98,5,91,2,t1403,2021-01-29
mazowieckie,gostyniński,-,-,1,-,-,0.22,1,0,1,6,7,98,27,1,26,0,t1404,2021-01-29
mazowieckie,grodziski,-,-,29,-,-,3.0,0,0,0,60,21,777,116,36,78,2,t1405,2021-01-29
mazowieckie,grójecki,-,-,20,-,-,2.04,0,0,0,78,27,2096,101,22,77,2,t1406,2021-01-29
mazowieckie,kozienicki,-,-,9,-,-,1.51,1,0,1,19,7,413,71,11,59,1,t1407,2021-01-29
mazowieckie,legionowski,-,-,38,-,-,3.19,1,0,1,47,31,789,175,41,131,3,t1408,2021-01-29
mazowieckie,lipski,-,-,3,-,-,0.89,1,0,1,6,3,119,43,5,38,0,t1409,2021-01-29
mazowieckie,łosicki,-,-,6,-,-,1.96,0,0,0,10,1,109,21,6,13,2,t1410,2021-01-29
mazowieckie,makowski,-,-,2,-,-,0.45,0,0,0,9,5,187,23,2,21,0,t1411,2021-01-29
mazowieckie,miński,-,-,17,-,-,1.1,0,0,0,63,16,714,146,21,123,2,t1412,2021-01-29
mazowieckie,mławski,-,-,22,-,-,3.04,3,0,3,34,6,667,84,24,54,6,t1413,2021-01-29
mazowieckie,nowodworski,-,-,22,-,-,2.77,1,0,1,28,10,412,97,23,73,1,t1414,2021-01-29
mazowieckie,ostrołęcki,-,-,3,-,-,0.34,0,0,0,15,11,237,42,3,38,1,t1415,2021-01-29
mazowieckie,ostrowski,-,-,1,-,-,0.14,0,0,0,8,4,341,56,1,55,0,t1416,2021-01-29
mazowieckie,otwocki,-,-,18,-,-,1.45,1,1,0,42,32,807,125,21,99,5,t1417,2021-01-29
mazowieckie,piaseczyński,-,-,34,-,-,1.79,2,0,2,98,37,1746,272,40,224,8,t1418,2021-01-29
mazowieckie,płocki,-,-,15,-,-,1.35,0,0,0,40,19,404,120,16,101,3,t1419,2021-01-29
mazowieckie,płoński,-,-,9,-,-,1.04,0,0,0,12,15,519,116,10,106,0,t1420,2021-01-29
mazowieckie,pruszkowski,-,-,48,-,-,2.88,0,0,0,73,35,1526,242,52,187,3,t1421,2021-01-29
mazowieckie,przasnyski,-,-,25,-,-,4.78,0,0,0,17,11,293,64,25,38,1,t1422,2021-01-29
mazowieckie,przysuski,-,-,1,-,-,0.24,1,0,1,8,3,138,27,1,26,0,t1423,2021-01-29
mazowieckie,pułtuski,-,-,7,-,-,1.35,0,0,0,25,5,255,35,7,27,1,t1424,2021-01-29
mazowieckie,radomski,-,-,21,-,-,1.38,0,0,0,41,22,452,149,25,123,1,t1425,2021-01-29
mazowieckie,siedlecki,-,-,12,-,-,1.47,1,0,1,17,12,468,90,14,75,1,t1426,2021-01-29
mazowieckie,sierpecki,-,-,7,-,-,1.35,1,0,1,19,14,213,30,7,23,0,t1427,2021-01-29
mazowieckie,sochaczewski,-,-,25,-,-,2.94,1,0,1,30,19,862,145,28,113,4,t1428,2021-01-29
mazowieckie,sokołowski,-,-,2,-,-,0.37,0,0,0,4,2,186,52,4,48,0,t1429,2021-01-29
mazowieckie,szydłowiecki,-,-,0,-,-,0.0,0,0,0,11,1,109,23,0,23,0,t1430,2021-01-29
mazowieckie,warszawski zachodni,-,-,36,-,-,3.01,0,0,0,60,24,1334,143,39,103,1,t1432,2021-01-29
mazowieckie,węgrowski,-,-,6,-,-,0.91,2,0,2,17,9,269,62,9,50,3,t1433,2021-01-29
mazowieckie,wołomiński,-,-,33,-,-,1.31,3,3,0,87,60,1628,256,33,219,4,t1434,2021-01-29
mazowieckie,wyszkowski,-,-,24,-,-,3.23,0,0,0,23,7,285,58,24,33,1,t1435,2021-01-29
mazowieckie,zwoleński,-,-,4,-,-,1.11,0,0,0,12,4,194,30,4,26,0,t1436,2021-01-29
mazowieckie,żuromiński,-,-,4,-,-,1.04,0,0,0,6,4,54,22,5,16,1,t1437,2021-01-29
mazowieckie,żyrardowski,-,-,23,-,-,3.04,0,0,0,39,25,651,105,26,77,2,t1438,2021-01-29
mazowieckie,Ostrołęka,-,-,12,-,-,2.31,0,0,0,11,6,166,49,12,37,0,t1461,2021-01-29
mazowieckie,Płock,-,-,26,-,-,2.19,0,0,0,52,11,452,154,30,120,4,t1462,2021-01-29
mazowieckie,Radom,-,-,21,-,-,1.0,0,0,0,64,34,722,454,23,414,17,t1463,2021-01-29
mazowieckie,Siedlce,-,-,14,-,-,1.79,1,0,1,16,13,377,139,16,120,3,t1464,2021-01-29
mazowieckie,Warszawa,-,-,325,-,-,1.81,22,0,22,687,411,14096,2625,373,2207,45,t1465,2021-01-29
opolskie,brzeski,-,-,9,-,-,1.0,1,0,1,21,11,306,42,11,29,2,t1601,2021-01-29
opolskie,głubczycki,-,-,5,-,-,1.1,0,0,0,13,13,223,46,5,40,1,t1602,2021-01-29
opolskie,kędzierzyńsko-kozielski,-,-,12,-,-,1.28,0,0,0,26,15,336,82,13,69,0,t1603,2021-01-29
opolskie,kluczborski,-,-,5,-,-,0.77,1,0,1,13,11,183,47,5,40,2,t1604,2021-01-29
opolskie,krapkowicki,-,-,7,-,-,1.1,0,0,0,8,18,231,44,7,37,0,t1605,2021-01-29
opolskie,namysłowski,-,-,4,-,-,0.94,0,0,0,8,4,142,23,4,19,0,t1606,2021-01-29
opolskie,nyski,-,-,11,-,-,0.81,0,0,0,34,18,348,114,11,100,3,t1607,2021-01-29
opolskie,oleski,-,-,10,-,-,1.56,0,0,0,10,6,166,52,10,41,1,t1608,2021-01-29
opolskie,opolski,-,-,10,-,-,0.81,1,0,1,18,23,517,88,11,72,5,t1609,2021-01-29
opolskie,prudnicki,-,-,2,-,-,0.36,1,0,1,6,4,91,37,3,34,0,t1610,2021-01-29
opolskie,strzelecki,-,-,4,-,-,0.54,0,0,0,6,12,272,73,5,67,1,t1611,2021-01-29
opolskie,Opole,-,-,21,-,-,1.64,1,0,1,33,30,960,130,21,109,0,t1661,2021-01-29
podkarpackie,bieszczadzki,-,-,2,-,-,0.93,0,0,0,8,5,76,17,2,15,0,t1801,2021-01-29
podkarpackie,brzozowski,-,-,4,-,-,0.61,0,0,0,1,9,176,53,5,48,0,t1802,2021-01-29
podkarpackie,dębicki,-,-,9,-,-,0.67,1,0,1,12,9,297,80,11,69,0,t1803,2021-01-29
podkarpackie,jarosławski,-,-,12,-,-,1.0,0,0,0,16,18,366,98,16,80,2,t1804,2021-01-29
podkarpackie,jasielski,-,-,9,-,-,0.79,0,0,0,10,6,297,132,17,113,2,t1805,2021-01-29
podkarpackie,kolbuszowski,-,-,4,-,-,0.64,0,0,0,11,3,105,46,4,42,0,t1806,2021-01-29
podkarpackie,krośnieński,-,-,9,-,-,0.8,0,0,0,15,3,152,75,10,64,1,t1807,2021-01-29
podkarpackie,leżajski,-,-,6,-,-,0.87,1,0,1,9,16,169,40,8,31,1,t1808,2021-01-29
podkarpackie,lubaczowski,-,-,6,-,-,1.09,3,3,0,10,3,272,48,7,40,1,t1809,2021-01-29
podkarpackie,łańcucki,-,-,7,-,-,0.86,0,0,0,13,8,256,66,7,58,1,t1810,2021-01-29
podkarpackie,mielecki,-,-,10,-,-,0.73,0,0,0,17,11,252,78,11,67,0,t1811,2021-01-29
podkarpackie,niżański,-,-,2,-,-,0.3,0,0,0,7,14,193,42,2,38,2,t1812,2021-01-29
podkarpackie,przemyski,-,-,9,-,-,1.22,2,0,2,5,13,243,73,10,61,2,t1813,2021-01-29
podkarpackie,przeworski,-,-,3,-,-,0.38,1,0,1,13,5,134,46,6,40,0,t1814,2021-01-29
podkarpackie,ropczycko-sędziszowski,-,-,4,-,-,0.54,3,0,3,10,7,131,41,4,37,0,t1815,2021-01-29
podkarpackie,rzeszowski,-,-,8,-,-,0.47,3,0,3,42,15,529,106,9,97,0,t1816,2021-01-29
podkarpackie,sanocki,-,-,12,-,-,1.27,0,0,0,16,8,246,93,12,81,0,t1817,2021-01-29
podkarpackie,stalowowolski,-,-,2,-,-,0.19,0,0,0,13,25,265,50,4,46,0,t1818,2021-01-29
podkarpackie,strzyżowski,-,-,3,-,-,0.49,0,0,0,6,4,118,37,3,34,0,t1819,2021-01-29
podkarpackie,tarnobrzeski,-,-,0,-,-,0.0,0,0,0,7,4,168,51,2,48,1,t1820,2021-01-29
podkarpackie,leski,-,-,2,-,-,0.76,0,0,0,4,4,78,24,3,21,0,t1821,2021-01-29
